truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text
False,"Thank you to the amazing law enforcement officers in Colorado!
#MakeAmericaGreatAgain #LESM https://t.co/glxTQYAQiN",False,759185456818860032,30286,iphone,False,9723,False,en,Sat Jul 30 00:34:52 +0000 2016,thank amazing law enforcement officers colorado makeamericagreatagain lesm
False,Thank you Colorado Springs. Get out &amp; VOTE #TrumpPence16 in November! https://t.co/wK02fWzJey,False,759152897602916352,23281,iphone,False,7584,False,en,Fri Jul 29 22:25:29 +0000 2016,thank colorado springs get vote trumppence november
False,"""Only a Reagan or a Trump-like figure in the White House will achieve this goal."" https://t.co/6a7Ef12giZ",False,759117301517996032,21614,iphone,False,8621,False,en,Fri Jul 29 20:04:03 +0000 2016,reagan trump like figure white house achieve goal
False,"Even Bill is tired of the lies, SAD! https://t.co/LPk1OkwH9P",False,759093740497764353,22358,web,False,7683,False,en,Fri Jul 29 18:30:25 +0000 2016,even bill tired lies sad
False,"Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm!

Colorado Springs: https://t.co/HgFW7IRtz9

Denver: https://t.co/aE5P9jNcFC",False,759088844683608064,10343,iphone,False,3068,False,en,Fri Jul 29 18:10:58 +0000 2016,join colorado springs pm denver tonight pm colorado springs denver
False,What Bernie Sanders really thinks of Crooked Hillary Clinton. https://t.co/VgMaAsZBep,False,759084522705068032,41371,iphone,False,21302,False,en,Fri Jul 29 17:53:47 +0000 2016,bernie sanders really thinks crooked hillary clinton
False,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",False,759082026687352834,24716,android,False,6714,False,en,Fri Jul 29 17:43:52 +0000 2016,watching crooked hillary speak old stuff country needs change
False,"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary. She sold them out, V.P. pick!",False,759071976182861824,35261,android,False,10193,False,en,Fri Jul 29 17:03:56 +0000 2016,wow campaign hearing bernie supporters never support crooked hillary sold v p pick
False,In Hillary Clinton's America - things get worse. #TrumpPence16 https://t.co/WdHbnhhCbW,False,759070976181084160,26073,iphone,False,12547,False,en,Fri Jul 29 16:59:58 +0000 2016,hillary clinton america things get worse trumppence
False,The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,False,759070106546638849,29317,android,False,8153,False,en,Fri Jul 29 16:56:30 +0000 2016,dishonest media mention bernie sanders angry looking crooked speech wishes make deal
False,"Thank you! 

Facebook: https://t.co/nmlRJqzA7S

Instagram: https://t.co/5gDeluaBXG https://t.co/Pw7GS8R9Gg",False,759064533814038528,22099,iphone,False,6456,False,en,Fri Jul 29 16:34:22 +0000 2016,thank facebook instagram
False,"Crooked Hillary said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!",False,759029315006705664,53503,android,False,16842,False,en,Fri Jul 29 14:14:25 +0000 2016,crooked hillary said handle rough tumble political campaign really beat people beating
False,"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town!  #NeverHillary",False,759027356434518016,21674,android,False,6113,False,en,Fri Jul 29 14:06:38 +0000 2016,michael bloomberg ran mayor new york get vote would run town neverhillary
False,"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",False,759025610249216000,25679,android,False,7800,False,en,Fri Jul 29 13:59:42 +0000 2016,little michael bloomberg never guts run president knows nothing last term mayor disaster
False,"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD  #NeverHillary",False,759024055123009536,21114,android,False,6330,False,en,Fri Jul 29 13:53:31 +0000 2016,general john allen never met spoke last night failed badly fight isis record bad neverhillary
False,Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,False,759021886055387136,33773,android,False,9540,False,en,Fri Jul 29 13:44:54 +0000 2016,crooked hillary clinton mentioned times long boring speech many statements lies fabrications
False,Join @mike_pence at the University of Northwestern Ohio- tonight at 7pm. Tickets: https://t.co/DvP8p7ueNU,False,759017481633542145,10591,iphone,False,3143,False,en,Fri Jul 29 13:27:24 +0000 2016,join @mike pence university northwestern ohio tonight pm tickets
False,"""@AnnCoulter: ""I believe in science"" Dem code for ""we're shutting down coal mines, steel plants and any other remaining manufacturing""""",False,759014707277598720,23057,android,False,8295,False,en,Fri Jul 29 13:16:22 +0000 2016,@anncoulter believe science dem code shutting coal mines steel plants remaining manufacturing
False,"CAMPAIGN STATEMENT: 
https://t.co/RNW3ED2ifR",False,759013928315686917,10457,iphone,False,3801,False,en,Fri Jul 29 13:13:16 +0000 2016,campaign statement
False,"Two policemen just shot in San Diego, one dead. It is only getting worse. People want LAW AND ORDER!",False,759013889761697794,27687,android,False,9494,False,en,Fri Jul 29 13:13:07 +0000 2016,two policemen shot san diego one dead getting worse people want law order
False,"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",False,759008377577967616,31369,android,False,8855,False,en,Fri Jul 29 12:51:13 +0000 2016,crooked hillary clinton made facts forgot mention many problems country average scream
False,The media coverage this morning of the very average Clinton speech and Convention is a joke. @CNN and the little watched @Morning_Joe = SAD!,False,759005597899436032,20557,android,False,5905,False,en,Fri Jul 29 12:40:10 +0000 2016,media coverage morning average clinton speech convention joke @cnn little watched @morning joe sad
False,No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.,False,758874457142284288,49087,iphone,False,17544,False,en,Fri Jul 29 03:59:04 +0000 2016,one worse judgement hillary clinton corruption devastation follows wherever goes
False,"Hillary's wars in the Middle East have unleashed destruction, terrorism and ISIS across the world.",False,758873961425805312,36515,iphone,False,13164,False,en,Fri Jul 29 03:57:06 +0000 2016,hillary wars middle east unleashed destruction terrorism isis across world
False,"Hillary's vision is a borderless world where working people have no power, no jobs, no safety.",False,758873275044798464,43222,iphone,False,16749,False,en,Fri Jul 29 03:54:22 +0000 2016,hillary vision borderless world working people power jobs safety
False,Hillary will never reform Wall Street. She is owned by Wall Street!,False,758872873234681860,43156,iphone,False,16453,False,en,Fri Jul 29 03:52:46 +0000 2016,hillary never reform wall street owned wall street
False,Our way of life is under threat by Radical Islam and Hillary Clinton cannot even bring herself to say the words.,False,758872422028148740,42652,iphone,False,14883,False,en,Fri Jul 29 03:50:59 +0000 2016,way life threat radical islam hillary clinton cannot even bring say words
False,"Hillary's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country.",False,758871653547806724,51319,iphone,False,19783,False,en,Fri Jul 29 03:47:56 +0000 2016,hillary refusal mention radical islam pushes increase refugees proof unfit lead country
False,"Departing now - thank you Cedar Rapids, Iowa. This is a MOVEMENT! https://t.co/ezrqVqPtta",False,758851150175055874,27659,iphone,False,7959,False,en,Fri Jul 29 02:26:27 +0000 2016,departing thank cedar rapids iowa movement
False,#CrookedHillary https://t.co/JeXFnO6e3s,False,758802697763958784,55039,iphone,False,30222,False,und,Thu Jul 28 23:13:55 +0000 2016,crookedhillary
