source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Fri Jul 29 15:31:05 +0000 2016,False,"Thank you, Bryn.  Keep fighting for what is right! https://t.co/CMvQo7MB7t",thank bryn keep fighting right,thank you bryn keep fighting for what is right
other,Fri Jul 29 13:05:48 +0000 2016,False,I tried to appear this morning but the driver -like most of Philly this week - was late and confused.  https://t.co/BvhmLYCzvo,tried appear morning driver like philly week late confused,i tried to appear this morning but the driver like most of philly this week was late and confused
other,Fri Jul 29 13:04:02 +0000 2016,True,RT @bpolitics: Why some young women shrug at Hillary Clinton's historic achievement https://t.co/CWFokeoaV4 #DemsInPhilly https://t.co/OW8l…,rt @bpolitics young women shrug hillary clinton historic achievement demsinphilly,rt @bpolitics why some young women shrug at hillary clinton s historic achievement demsinphilly
other,Fri Jul 29 06:12:19 +0000 2016,True,"RT @FoxNews: .@KellyannePolls: ""Hillary delivered the 8th most dynamic speech of her convention."" #DemsInPhilly #DemConvention https://t.co…",rt @foxnews @kellyannepolls hillary delivered th dynamic speech convention demsinphilly demconvention,rt @foxnews @kellyannepolls hillary delivered the th most dynamic speech of her convention demsinphilly demconvention
other,Fri Jul 29 06:05:44 +0000 2016,True,"RT @FoxNews: .@KellyannePolls: ""We're told [@HillaryClinton] never quits. That's true, she never quits running for office."" https://t.co/kn…",rt @foxnews @kellyannepolls told @hillaryclinton never quits true never quits running office,rt @foxnews @kellyannepolls we re told @hillaryclinton never quits that s true she never quits running for office
other,Fri Jul 29 03:44:52 +0000 2016,True,RT @seanhannity: As close as I get to HRC interview. And God willing as close as she ever gets to WH and being POTUS https://t.co/3nHd2tlFGS,rt @seanhannity close get hrc interview god willing close ever gets wh potus,rt @seanhannity as close as i get to hrc interview and god willing as close as she ever gets to wh and being potus
other,Fri Jul 29 03:20:52 +0000 2016,False,Democrats.  https://t.co/4Lbqi5Zyyv,democrats,democrats
other,Fri Jul 29 03:20:11 +0000 2016,True,RT @politico: A millennial’s guide to the nineties and @HillaryClinton https://t.co/LcySTvLMix https://t.co/cB21DYwB2H,rt @politico millennial guide nineties @hillaryclinton,rt @politico a millennial s guide to the nineties and @hillaryclinton
other,Fri Jul 29 03:19:40 +0000 2016,False,"Referring to San Bernardino, Nice, Orlando, Hillary calls the murderers ""determined enemies"" rather than radical Islamic terrorists.",referring san bernardino nice orlando hillary calls murderers determined enemies rather radical islamic terrorists,referring to san bernardino nice orlando hillary calls the murderers determined enemies rather than radical islamic terrorists
other,Fri Jul 29 01:55:34 +0000 2016,True,"RT @CharlieRoseShow: Tonight, coverage of the final day of #DemsinPhilly with @KellyannePolls @JamesCarville and Eric Holder. Watch @PBS. h…",rt @charlieroseshow tonight coverage final day demsinphilly @kellyannepolls @jamescarville eric holder watch @pbs h,rt @charlieroseshow tonight coverage of the final day of demsinphilly with @kellyannepolls @jamescarville and eric holder watch @pbs h
