truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,"Sólo un candidato está dispuesto a defender a Puerto Rico y enfrentar a Wall Street.
https://t.co/AsHDR8ij6m",False,736623206975447040,1317,other,False,662,False,es,Sat May 28 18:20:32 +0000 2016,lo un candidato est dispuesto defender puerto rico enfrentar wall street,s lo un candidato est dispuesto a defender a puerto rico y enfrentar a wall street
False,RT @DannyEFreeman: It appears this @BernieSanders Santa Barbara rally remembered the candidate's wedding anniversary. https://t.co/ELDUx1LY…,False,736622970982932481,0,other,False,2724,False,en,Sat May 28 18:19:36 +0000 2016,rt @dannyefreeman appears @berniesanders santa barbara rally remembered candidate wedding anniversary,rt @dannyefreeman it appears this @berniesanders santa barbara rally remembered the candidate s wedding anniversary
False,"Happy anniversary, @JaneOSanders! https://t.co/N5YNoYDXUv",False,736604776553545728,18796,tweetdeck,False,4741,False,en,Sat May 28 17:07:18 +0000 2016,happy anniversary @janeosanders,happy anniversary @janeosanders
False,"We need to invest in help for people with substance abuse problems so that they end up in treatment, not prison.",False,736567640370479104,5408,tweetdeck,False,2275,False,en,Sat May 28 14:39:44 +0000 2016,need invest help people substance abuse problems end treatment prison,we need to invest in help for people with substance abuse problems so that they end up in treatment not prison
False,RT @RealTimers: You can always count on @BernieSanders for some #RealTalk. He's back for his 11th #RealTime appearance tonight @ 10! https:…,False,736359359697944576,0,iphone,False,1353,False,en,Sat May 28 00:52:06 +0000 2016,rt @realtimers always count @berniesanders realtalk back th realtime appearance tonight @ https,rt @realtimers you can always count on @berniesanders for some realtalk he s back for his th realtime appearance tonight @ https
False,The fact of the matter is that senior citizens are struggling to pay for their medication while Big Pharma is making billions in profits.,False,736348288505384963,5016,tweetdeck,False,2027,False,en,Sat May 28 00:08:07 +0000 2016,fact matter senior citizens struggling pay medication big pharma making billions profits,the fact of the matter is that senior citizens are struggling to pay for their medication while big pharma is making billions in profits
False,We have a moral responsibility to combat climate change and leave this planet healthy and habitable for our kids and grandchildren.,False,736327892703969280,5856,tweetdeck,False,2494,False,en,Fri May 27 22:47:04 +0000 2016,moral responsibility combat climate change leave planet healthy habitable kids grandchildren,we have a moral responsibility to combat climate change and leave this planet healthy and habitable for our kids and grandchildren
False,"Here's a radical idea: If you work 40 hours a week, you should not be living in poverty.",False,736291143516704769,9820,tweetdeck,False,4876,False,en,Fri May 27 20:21:02 +0000 2016,radical idea work hours week living poverty,here s a radical idea if you work hours a week you should not be living in poverty
False,We need to elect leaders who share our values. Split a contribution with @RussFeingold and our campaign: https://t.co/lxsDVROmri,False,736285080440557568,1440,tweetdeck,False,600,False,en,Fri May 27 19:56:57 +0000 2016,need elect leaders share values split contribution @russfeingold campaign,we need to elect leaders who share our values split a contribution with @russfeingold and our campaign
False,"If you want a campaign that can defeat Trump and defeat him badly, we are that campaign.",False,736265982897840128,8451,tweetdeck,False,3786,False,en,Fri May 27 18:41:04 +0000 2016,want campaign defeat trump defeat badly campaign,if you want a campaign that can defeat trump and defeat him badly we are that campaign
False,"RT @MSNBC: WATCH LIVE: @BernieSanders holds a rally in San Pedro, California https://t.co/dcFdeMiW5f https://t.co/RtssfOWoz1",False,736261328378044417,0,tweetdeck,False,414,False,en,Fri May 27 18:22:34 +0000 2016,rt @msnbc watch live @berniesanders holds rally san pedro california,rt @msnbc watch live @berniesanders holds a rally in san pedro california
False,"RT @RevoltTV: .@BernieSanders discussed issues such as Student Debt &amp; more during 'A Social Conversation With Bernie'
#REVOLT2Vote
https://…",False,736261315455373312,0,tweetdeck,False,817,False,en,Fri May 27 18:22:31 +0000 2016,rt @revolttv @berniesanders discussed issues student debt social conversation bernie revolt vote https,rt @revolttv @berniesanders discussed issues such as student debt more during a social conversation with bernie revolt vote https
False,"Add your name if you want to see a #BernieTrumpDebate on the major issues before California's primary on June 7. 
https://t.co/9jemas288L",False,736228115492392961,4134,tweetdeck,False,2068,False,en,Fri May 27 16:10:35 +0000 2016,add name want see bernietrumpdebate major issues california primary june,add your name if you want to see a bernietrumpdebate on the major issues before california s primary on june
False,"We need to end prisons for profit, which result in an over-incentive to arrest, jail and detain, in order to keep prison beds full.",False,736205084342640640,4659,tweetdeck,False,2074,False,en,Fri May 27 14:39:04 +0000 2016,need end prisons profit result incentive arrest jail detain order keep prison beds full,we need to end prisons for profit which result in an over incentive to arrest jail and detain in order to keep prison beds full
False,We need to federally fund and require body cameras for law enforcement officers to make it easier to hold them accountable.,False,736186225808154624,4009,tweetdeck,False,1380,False,en,Fri May 27 13:24:08 +0000 2016,need federally fund require body cameras law enforcement officers make easier hold accountable,we need to federally fund and require body cameras for law enforcement officers to make it easier to hold them accountable
False,The middle class should not be subsidizing the wealthiest family in America just because the Waltons are too cheap to pay a living wage!,False,736005025705529344,6278,tweetdeck,False,2449,False,en,Fri May 27 01:24:07 +0000 2016,middle class subsidizing wealthiest family america waltons cheap pay living wage,the middle class should not be subsidizing the wealthiest family in america just because the waltons are too cheap to pay a living wage
False,"If current trends continue, one in four black males born today can expect to spend time in prison during their lifetime. This is a tragedy.",False,735986908048691201,5923,tweetdeck,False,2580,False,en,Fri May 27 00:12:07 +0000 2016,current trends continue one four black males born today expect spend time prison lifetime tragedy,if current trends continue one in four black males born today can expect to spend time in prison during their lifetime this is a tragedy
False,America is not supposed to be a country where the top 1 percent owns almost as much as the bottom 99 percent.,False,735961498703400969,4139,tweetdeck,False,1636,False,en,Thu May 26 22:31:09 +0000 2016,america supposed country top percent owns almost much bottom percent,america is not supposed to be a country where the top percent owns almost as much as the bottom percent
False,"We're taking the political revolution to Pomona, CA today. Doors open at 4:30 PM. RSVP here: https://t.co/b2FXKVOfEr #BernieInTheIE",False,735947147036631043,1722,tweetdeck,False,559,False,en,Thu May 26 21:34:07 +0000 2016,taking political revolution pomona ca today doors open pm rsvp bernieintheie,we re taking the political revolution to pomona ca today doors open at pm rsvp here bernieintheie
False,RT @JeffDSachs: Why Bernie Sanders easily wins the policy debate! https://t.co/pP2RkTZdCK,False,735941276067979265,0,other,False,1227,False,en,Thu May 26 21:10:47 +0000 2016,rt @jeffdsachs bernie sanders easily wins policy debate,rt @jeffdsachs why bernie sanders easily wins the policy debate
False,RT @FOXLA: Vermont Sen. @BernieSanders speaks at campaign rally at Ventura College. WATCH LIVE: https://t.co/3QbJkFnEBr,False,735931951442366464,0,tweetdeck,False,276,False,en,Thu May 26 20:33:44 +0000 2016,rt @foxla vermont sen @berniesanders speaks campaign rally ventura college watch live,rt @foxla vermont sen @berniesanders speaks at campaign rally at ventura college watch live
False,I am delighted that @realDonaldTrump has agreed to debate. Let’s do it in the biggest stadium possible.,False,735915713404260352,35348,other,False,17560,False,en,Thu May 26 19:29:13 +0000 2016,delighted @realdonaldtrump agreed debate let biggest stadium possible,i am delighted that @realdonaldtrump has agreed to debate let s do it in the biggest stadium possible
False,We have got to end corporate prisons and detention centers. It is a perverse incentive to make more money by locking up more Americans.,False,735905613432033280,4106,tweetdeck,False,1720,False,en,Thu May 26 18:49:05 +0000 2016,got end corporate prisons detention centers perverse incentive make money locking americans,we have got to end corporate prisons and detention centers it is a perverse incentive to make more money by locking up more americans
False,Tune in LIVE to a conversation with Bernie and @RevoltTV happening now: https://t.co/5ypnHvpdK5,False,735886037948321794,1031,tweetdeck,False,393,False,en,Thu May 26 17:31:18 +0000 2016,tune live conversation bernie @revolttv happening,tune in live to a conversation with bernie and @revolttv happening now
False,RT @iamdiddy: Tune in today at 10:30am PT / 1:30pm ET for A Social Conversation w/ @BernieSanders @VoteAmericaNow &amp; @RevoltTV!! https://t.c…,False,735875311708049409,0,other,False,465,False,en,Thu May 26 16:48:40 +0000 2016,rt @iamdiddy tune today pt pm et social conversation w @berniesanders @voteamericanow @revolttv,rt @iamdiddy tune in today at am pt pm et for a social conversation w @berniesanders @voteamericanow @revolttv
False,RT @HuffPostPol: Bernie Sanders fundraises for progressive U.S. Senate candidate Russ Feingold ⏩  by @aterkel https://t.co/ubFExKVNjy https…,False,735863110838439936,0,other,False,562,False,en,Thu May 26 16:00:11 +0000 2016,rt @huffpostpol bernie sanders fundraises progressive u senate candidate russ feingold @aterkel https,rt @huffpostpol bernie sanders fundraises for progressive u s senate candidate russ feingold by @aterkel https
False,Today I am proud to endorse my friend @RussFeingold for U.S. Senate. Join me in supporting progressive Democrats: https://t.co/ttYkv040Pj,False,735862315703107586,2729,tweetdeck,False,1157,False,en,Thu May 26 15:57:02 +0000 2016,today proud endorse friend @russfeingold u senate join supporting progressive democrats,today i am proud to endorse my friend @russfeingold for u s senate join me in supporting progressive democrats
False,RT @RevoltTV: Tune in today at 1:30p ET/10:30a PT for A Social Conversation w/ @BernieSanders! Don't miss out! #REVOLT2Vote https://t.co/fz…,False,735849225892814848,0,other,False,482,False,en,Thu May 26 15:05:01 +0000 2016,rt @revolttv tune today p et pt social conversation w @berniesanders miss revolt vote,rt @revolttv tune in today at p et a pt for a social conversation w @berniesanders don t miss out revolt vote
False,Say you support preventing the worst effects of climate change through the Keep it in the Ground Act. Add your name: https://t.co/y2UqgBOMjY,False,735845719379058689,1904,tweetdeck,False,836,False,en,Thu May 26 14:51:05 +0000 2016,say support preventing worst effects climate change keep ground act add name,say you support preventing the worst effects of climate change through the keep it in the ground act add your name
False,"Our message to Wall Street is simple: you cannot have it all! This country belongs to all of us, not just the wealthy and special interests.",False,735827587071508482,4209,tweetdeck,False,1582,False,en,Thu May 26 13:39:02 +0000 2016,message wall street simple cannot country belongs us wealthy special interests,our message to wall street is simple you cannot have it all this country belongs to all of us not just the wealthy and special interests
False,RT @sfchronicle: Editorial: #Clinton breaks a #California promise. https://t.co/E9KUplkyZD https://t.co/gTQLuYsGAL,False,735701959840129025,0,tweetdeck,False,1976,False,en,Thu May 26 05:19:50 +0000 2016,rt @sfchronicle editorial clinton breaks california promise,rt @sfchronicle editorial clinton breaks a california promise
False,Game on. I look forward to debating Donald Trump in California before the June 7 primary.,False,735689625407131648,50749,tweetdeck,False,26220,False,en,Thu May 26 04:30:49 +0000 2016,game look forward debating donald trump california june primary,game on i look forward to debating donald trump in california before the june primary
False,"The California Drug Price Relief Act would lower prices for AIDS treatments. Let's stand up to Big Pharma.
https://t.co/SM1iQ7bZbh",False,735665771376869381,2764,tweetdeck,False,1173,False,en,Thu May 26 02:56:02 +0000 2016,california drug price relief act would lower prices aids treatments let stand big pharma,the california drug price relief act would lower prices for aids treatments let s stand up to big pharma
False,RT @MarkRuffalo: Just 1 of the many reasons why I #feelthebern. @BernieSanders is 100% the real deal #NotMeUs https://t.co/tXx5bBGIGu https…,False,735660948321533952,0,other,False,4318,False,en,Thu May 26 02:36:52 +0000 2016,rt @markruffalo many reasons feelthebern @berniesanders real deal notmeus https,rt @markruffalo just of the many reasons why i feelthebern @berniesanders is the real deal notmeus https
False,A rigged economy is when the top 1/10 of 1 percent owns as much as the bottom 90 percent.,False,735659730958352384,3506,tweetdeck,False,1357,False,en,Thu May 26 02:32:02 +0000 2016,rigged economy top percent owns much bottom percent,a rigged economy is when the top of percent owns as much as the bottom percent
False,Bernie just endorsed eight progressives for state legislatures across the country. Say you support them too: https://t.co/5rtYnc09Cw,False,735631290204966917,2671,tweetdeck,False,1198,False,en,Thu May 26 00:39:01 +0000 2016,bernie endorsed eight progressives state legislatures across country say support,bernie just endorsed eight progressives for state legislatures across the country say you support them too
False,RT @serjtankian: New article I did w/@RollingStone about @BernieSanders &amp; the American political system.Go vote in upcoming primaries https…,False,735624072277676034,0,iphone,False,1813,False,en,Thu May 26 00:10:20 +0000 2016,rt @serjtankian new article w @rollingstone @berniesanders american political system go vote upcoming primaries https,rt @serjtankian new article i did w @rollingstone about @berniesanders the american political system go vote in upcoming primaries https
False,"RT @nowthisnews: .@BernieSanders is actually outpolling @HillaryClinton is multiple head-to-head match-ups with Donald Trump
https://t.co/v…",False,735619094578270212,0,iphone,False,2664,False,en,Wed May 25 23:50:33 +0000 2016,rt @nowthisnews @berniesanders actually outpolling @hillaryclinton multiple head head match ups donald trump,rt @nowthisnews @berniesanders is actually outpolling @hillaryclinton is multiple head to head match ups with donald trump
False,"Donald Trump and his friends should realize that their bigotry is the past, not the future.",False,735612438628831232,6513,tweetdeck,False,2882,False,en,Wed May 25 23:24:07 +0000 2016,donald trump friends realize bigotry past future,donald trump and his friends should realize that their bigotry is the past not the future
