source,created_at,text,is_retweet,clean_text,clean_text_with_stopwords
other,Sat Nov 26 18:17:42 +0000 2016,"RT @SalenaZito: The glamorization of Fidel Castro today is disturbing, if you love life, freedom and liberty you are appalled. https://t.co…",True,rt @salenazito glamorization fidel castro today disturbing love life freedom liberty appalled,rt @salenazito the glamorization of fidel castro today is disturbing if you love life freedom and liberty you are appalled
other,Sun Sep 04 15:52:58 +0000 2016,RT @SenRubioPress: Visited a #Tallahassee neighborhood damaged by #Hermine &amp; discussed recovery efforts with @LeonCounty officials. https:/…,True,rt @senrubiopress visited tallahassee neighborhood damaged hermine discussed recovery efforts @leoncounty officials https,rt @senrubiopress visited a tallahassee neighborhood damaged by hermine discussed recovery efforts with @leoncounty officials https
other,Sat Mar 05 19:24:42 +0000 2016,There's still time to vote in Kansas! Polls close at 2PM. https://t.co/I990oovQ1h #kscaucus https://t.co/zAGfmgmx3Y,False,still time vote kansas polls close pm kscaucus,there s still time to vote in kansas polls close at pm kscaucus
other,Sat Jan 02 20:09:02 +0000 2016,RT @AP_Politics: AP VIDEO: @marcorubio takes a break from campaigning to take his kids sledding.  https://t.co/izIv2XSQl1,True,rt @ap politics ap video @marcorubio takes break campaigning take kids sledding,rt @ap politics ap video @marcorubio takes a break from campaigning to take his kids sledding
other,Fri Jan 15 05:14:17 +0000 2016,RT @TeamMarco: Get this LIMITED EDITION T-Shirt with Marco's mic-dropping line of the night: https://t.co/XSndbOg560 #GOPDebate https://t.c…,True,rt @teammarco get limited edition shirt marco mic dropping line night gopdebate,rt @teammarco get this limited edition t shirt with marco s mic dropping line of the night gopdebate
other,Tue Jan 26 18:05:04 +0000 2016,"And now we've crossed $120k, thanks to Eileen of WI! She donated and won a signed football: https://t.co/pY2mVqfmQ2 https://t.co/elKSCYAuUr",False,crossed k thanks eileen wi donated signed football,and now we ve crossed k thanks to eileen of wi she donated and won a signed football
other,Fri Jan 15 03:26:02 +0000 2016,Head over to our store right now because we're having a #GOPDebate sale...10% off every item with code: FBNDEBATE  https://t.co/IW1cvacusG,False,head store right gopdebate sale every item code fbndebate,head over to our store right now because we re having a gopdebate sale off every item with code fbndebate
other,Sun Aug 28 15:20:50 +0000 2016,@musingofpolisci @TeamMarco thank you for your help.,False,@musingofpolisci @teammarco thank help,@musingofpolisci @teammarco thank you for your help
other,Tue Jan 19 23:55:16 +0000 2016,"I'm going to share my faith, especially when asked. Because my faith influences who I am in every aspect of my life. https://t.co/FjLc3eALiV",False,going share faith especially asked faith influences every aspect life,i m going to share my faith especially when asked because my faith influences who i am in every aspect of my life
other,Thu Mar 10 18:44:37 +0000 2016,RT @TeamMarco: Marco is the only one who can stop Trump in Florida. Don't wait. Vote early! https://t.co/OQ35r9ufDq #FLPrimary https://t.co…,True,rt @teammarco marco one stop trump florida wait vote early flprimary,rt @teammarco marco is the only one who can stop trump in florida don t wait vote early flprimary
