source,created_at,is_retweet,text,clean_text,clean_text_with_stopwords
other,Sun Mar 28 21:00:11 +0000 2010,False,Warning: Subject to New Politically Correct Language Police Censorship http://fb.me/tsAOrvN5,warning subject new politically correct language police censorship,warning subject to new politically correct language police censorship
other,Sun Mar 28 17:26:24 +0000 2010,False,"On Palm Sunday remember Faith,real Hope&Redemption promise. Easter season celebrates new life;look for it,count on Faith to pull u through",palm sunday remember faith real hope redemption promise easter season celebrates new life look count faith pull u,on palm sunday remember faith real hope redemption promise easter season celebrates new life look for it count on faith to pull u through
other,Sun Mar 28 16:15:08 +0000 2010,False,"Great college basketball this wk!Dad just reminded me:coaches refer 2 rebuilding&gearing up 4 new season as ""Reloading""!Enjoy the Final Four",great college basketball wk dad reminded coaches refer rebuilding gearing new season reloading enjoy final four,great college basketball this wk dad just reminded me coaches refer rebuilding gearing up new season as reloading enjoy the final four
other,Sat Mar 27 20:06:02 +0000 2010,False,"Thanks Searchlight! You're shining the spotlight on the wayward ways of Washington. Keep up the good work, the Tea Party Express rolls on...",thanks searchlight shining spotlight wayward ways washington keep good work tea party express rolls,thanks searchlight you re shining the spotlight on the wayward ways of washington keep up the good work the tea party express rolls on
other,Tue Mar 23 20:38:18 +0000 2010,False,"""With Healthcare Law Finished, Democrats Turn Their Attention to Cap-and-Trade Tax"" http://tinyurl.com/yzbkczb",healthcare law finished democrats turn attention cap trade tax,with healthcare law finished democrats turn their attention to cap and trade tax
other,Tue Mar 23 17:31:09 +0000 2010,False,"Commonsense Conservatives & lovers of America: ""Don't Retreat, Instead - RELOAD!"" Pls see my Facebook page.",commonsense conservatives lovers america retreat instead reload pls see facebook page,commonsense conservatives lovers of america don t retreat instead reload pls see my facebook page
other,Tue Mar 23 17:19:00 +0000 2010,False,Don’t Get Demoralized! Get Organized! Take Back the 20! http://fb.me/uexgabjc,get demoralized get organized take back,don t get demoralized get organized take back the
other,Mon Mar 22 16:03:39 +0000 2010,False,Out-of-touch Congress Sounds Our Clarion Call to Take a Stand http://fb.me/ugXf2tH4,touch congress sounds clarion call take stand,out of touch congress sounds our clarion call to take a stand
other,Sat Mar 20 19:55:39 +0000 2010,False,Take a look here for more on this: http://tinyurl.com/yhduo9d,take look,take a look here for more on this
other,Sat Mar 20 19:51:52 +0000 2010,False,Shocking new questions re:whether military healthcare plans r protected under Obamacare.How will underpaid troops afford their own purchase?,shocking new questions whether military healthcare plans r protected obamacare underpaid troops afford purchase,shocking new questions re whether military healthcare plans r protected under obamacare how will underpaid troops afford their own purchase
other,Sat Mar 20 18:12:26 +0000 2010,False,"Remember Joe-Plumber&Tito the Builder in'08 campaign?Tito said today:""I did not come 2 America for dependency,I came 2 America for liberty!""",remember joe plumber tito builder campaign tito said today come america dependency came america liberty,remember joe plumber tito the builder in campaign tito said today i did not come america for dependency i came america for liberty
other,Sat Mar 20 17:43:57 +0000 2010,False,"Pix of rally in DC look great,wish I were there!Patriots who r:Keep the faith!Keep up the good fight to""Kill the Bill""&take our country back",pix rally dc look great wish patriots r keep faith keep good fight kill bill take country back,pix of rally in dc look great wish i were there patriots who r keep the faith keep up the good fight to kill the bill take our country back
other,Fri Mar 19 21:50:12 +0000 2010,False,"United We Stand,Divided We Fall!Push united effort against Obamacare&its unfathomable impacts on the country we've known&loved.Call Congress",united stand divided fall push united effort obamacare unfathomable impacts country known loved call congress,united we stand divided we fall push united effort against obamacare its unfathomable impacts on the country we ve known loved call congress
other,Fri Mar 19 21:40:47 +0000 2010,False,America – Be Heard or Brace for “Transformation” http://fb.me/vjzCBlg7,america heard brace transformation,america be heard or brace for transformation
other,Fri Mar 19 21:39:11 +0000 2010,False,http://fb.me/um3d8XtG, , 
other,Wed Mar 17 00:07:00 +0000 2010,False,http://fb.me/6YHWXhw, , 
other,Tue Mar 16 21:50:07 +0000 2010,False,Contact info for Congress here: http://tinyurl.com/5nexf4 Keep contacting them!,contact info congress keep contacting,contact info for congress here keep contacting them
other,Tue Mar 16 21:42:14 +0000 2010,False,Phones ringing nonstop in DC;Keep it up!Contact Congress tell them NO to Slaughter Rule. Start over w/real healthcare&follow r Constitution,phones ringing nonstop dc keep contact congress tell slaughter rule start w real healthcare follow r constitution,phones ringing nonstop in dc keep it up contact congress tell them no to slaughter rule start over w real healthcare follow r constitution
other,Tue Mar 16 18:36:09 +0000 2010,False,"Brought to Pelosi's attention that her Obamacare ""process"" is unconstitutional,she replies: ""But I like it.""This takes America's breath away",brought pelosi attention obamacare process unconstitutional replies like takes america breath away,brought to pelosi s attention that her obamacare process is unconstitutional she replies but i like it this takes america s breath away
other,Tue Mar 16 18:01:11 +0000 2010,False,Needed: A Reset with Israel http://fb.me/6tPU0uG,needed reset israel,needed a reset with israel
other,Tue Mar 16 14:27:10 +0000 2010,False,Listen2 MARK LEVIN radio;he argues Obamacare passage plan UNCONSTITUTIONAL (will Dems care about that?) Art. I is clear how bill becomes law,listen mark levin radio argues obamacare passage plan unconstitutional dems care art clear bill becomes law,listen mark levin radio he argues obamacare passage plan unconstitutional will dems care about that art i is clear how bill becomes law
other,Mon Mar 15 20:04:20 +0000 2010,False,Nonstop D.C. Nonsense: Drilling Down on Energy Doublespeak http://fb.me/6SsONmf,nonstop c nonsense drilling energy doublespeak,nonstop d c nonsense drilling down on energy doublespeak
other,Mon Mar 15 19:57:52 +0000 2010,False,"If you're in the D.C. area tomorrow, please be sure to check out the ""Code Red Rally."" http://fb.me/6stqqVM",c area tomorrow please sure check code red rally,if you re in the d c area tomorrow please be sure to check out the code red rally
other,Mon Mar 15 19:37:36 +0000 2010,False,"Beyond puzzling,it's getting outrageous:Govt doublespeak re:Energy security&drilling ban=more nonsense.See my FaceBook 4 this new developmnt",beyond puzzling getting outrageous govt doublespeak energy security drilling ban nonsense see facebook new developmnt,beyond puzzling it s getting outrageous govt doublespeak re energy security drilling ban more nonsense see my facebook this new developmnt
other,Mon Mar 15 05:53:17 +0000 2010,False,"I facebooked""With a Stiff Spine America Must Stand Against Obamacare""& ask u to read it & act decisively for commonsense healthcare reform",facebooked stiff spine america must stand obamacare ask u read act decisively commonsense healthcare reform,i facebooked with a stiff spine america must stand against obamacare ask u to read it act decisively for commonsense healthcare reform
other,Sun Mar 14 18:24:23 +0000 2010,False,With a Stiff Spine America Must Stand Against Obamacare http://fb.me/KueCzUkIt,stiff spine america must stand obamacare,with a stiff spine america must stand against obamacare
other,Fri Mar 05 20:07:05 +0000 2010,False,"Stand up 4 Navy SEALs who stand up 4 us - question the agenda embraced by military brass working against SEALs who caught ""the bad guy"" 4 us",stand navy seals stand us question agenda embraced military brass working seals caught bad guy us,stand up navy seals who stand up us question the agenda embraced by military brass working against seals who caught the bad guy us
other,Fri Mar 05 19:50:33 +0000 2010,False,Stand Up for SEALs Standing Up for Us http://fb.me/66B7VML,stand seals standing us,stand up for seals standing up for us
other,Wed Mar 03 22:25:37 +0000 2010,False,"Congratulations to Texas Governor Rick Perry - great victory for Commonsense Conservatism! Now, on to November.",congratulations texas governor rick perry great victory commonsense conservatism november,congratulations to texas governor rick perry great victory for commonsense conservatism now on to november
other,Fri Feb 26 18:01:44 +0000 2010,False,Fact-checking Obamacare Summit http://fb.me/8FPZGtX,fact checking obamacare summit,fact checking obamacare summit
other,Thu Feb 25 22:03:20 +0000 2010,False,"Drag away from Obamacare mtg today2cheer Red,White&Blue:USA Women's Hockey w/AK's own#23 Weiland play Canada for Gold.Huge contest.Go U-S-A!",drag away obamacare mtg today cheer red white blue usa women hockey w ak weiland play canada gold huge contest go u,drag away from obamacare mtg today cheer red white blue usa women s hockey w ak s own weiland play canada for gold huge contest go u s a
other,Wed Feb 24 22:39:26 +0000 2010,False,"More of the Same, Only More Expensive http://fb.me/5HZPHOm",expensive,more of the same only more expensive
