source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,.@Pacers fans go wild everytime we wave this today in @500Festival Parade. #BeatTheHeat http://t.co/6aJJDYUNGy,Sat May 24 16:45:04 +0000 2014,False,@pacers fans go wild everytime wave today @ festival parade beattheheat,@pacers fans go wild everytime we wave this today in @ festival parade beattheheat
other,Two presidents and a governor enjoying some football at #BucketGame. @PurdueMitch @IUBloomington http://t.co/2wnMYGHBDt,Sat Nov 29 18:07:33 +0000 2014,False,two presidents governor enjoying football bucketgame @purduemitch @iubloomington,two presidents and a governor enjoying some football at bucketgame @purduemitch @iubloomington
other,Honored to meet this a.m. w/27th Chief of @NationalGuard Bureau Gen. Frank Grass &amp; @INNationalGuard Gen. Umbarger http://t.co/oxd7QYLQ7k,Fri May 23 15:14:30 +0000 2014,False,honored meet w th chief @nationalguard bureau gen frank grass @innationalguard gen umbarger,honored to meet this a m w th chief of @nationalguard bureau gen frank grass @innationalguard gen umbarger
other,"Last year I stopped at Clauss Bakery in Rensselaer. Enjoyed it so much, I came back today with @FirstLadyIN http://t.co/aRXzJUtHIZ",Sat Oct 04 17:00:45 +0000 2014,False,last year stopped clauss bakery rensselaer enjoyed much came back today @firstladyin,last year i stopped at clauss bakery in rensselaer enjoyed it so much i came back today with @firstladyin
other,.@FoxNews' @SpecialReport highlighted IN #AStatethatWorks last night in a segment w/@BretBaier. WATCH: http://t.co/PEcxvM0uFp,Fri Nov 21 18:20:00 +0000 2014,False,@foxnews @specialreport highlighted astatethatworks last night segment w @bretbaier watch,@foxnews @specialreport highlighted in astatethatworks last night in a segment w @bretbaier watch
other,"Later today, I'll sign an executive order declaring a state of emergency in at least 27 counties in IN. #INwx #winterstorm",Mon Jan 06 16:36:04 +0000 2014,False,later today sign executive order declaring state emergency least counties inwx winterstorm,later today i ll sign an executive order declaring a state of emergency in at least counties in in inwx winterstorm
other,Tune in to @Jeopardy tonight at 7:30 to see 16yo #Hoosier contestant Sam Lerner! MT @susanlitelerner  http://t.co/nv4t5lvYuJ,Fri Jul 25 19:25:04 +0000 2014,False,tune @jeopardy tonight see yo hoosier contestant sam lerner mt @susanlitelerner,tune in to @jeopardy tonight at to see yo hoosier contestant sam lerner mt @susanlitelerner
other,.@indystar: Gov. Pence to Obama: Reunite kids crossing border w/families in their home countries - http://t.co/b0zDwEBMcD,Tue Jul 29 18:08:56 +0000 2014,False,@indystar gov pence obama reunite kids crossing border w families home countries,@indystar gov pence to obama reunite kids crossing border w families in their home countries
other,IN is committed to having the best-trained/most-skilled workforce in the nation. Honored to share our progress today: http://t.co/cnwmi3hhsV,Tue Jul 29 21:10:21 +0000 2014,False,committed best trained skilled workforce nation honored share progress today,in is committed to having the best trained most skilled workforce in the nation honored to share our progress today
other,"Walked up to the corn dog stand &amp; Matthew the owner said, ""Who are you? You REALLY look familiar!"" @IndyStateFair http://t.co/VNdNagrsfo",Thu Aug 07 20:04:07 +0000 2014,False,walked corn dog stand matthew owner said really look familiar @indystatefair,walked up to the corn dog stand matthew the owner said who are you you really look familiar @indystatefair
other,Congrats to Mayor Mark Kruzan &amp; @CityBloomington for being named @IndianaChamber Community of the Year! @ChamberBloom #welldeserved,Fri Nov 07 00:54:09 +0000 2014,False,congrats mayor mark kruzan @citybloomington named @indianachamber community year @chamberbloom welldeserved,congrats to mayor mark kruzan @citybloomington for being named @indianachamber community of the year @chamberbloom welldeserved
other,"Caroline, the inspiration behind HEA 1050, the Special Circumstances Hunting Safety Card came by the office today http://t.co/avao2SWKY7",Wed May 28 20:16:08 +0000 2014,False,caroline inspiration behind hea special circumstances hunting safety card came office today,caroline the inspiration behind hea the special circumstances hunting safety card came by the office today
other,"#GovAgenda HB1002 provides up to $400M for new road projects &amp; approx 9,800 jobs, while preserving IN's role as Crossroads of America",Wed Mar 19 14:09:02 +0000 2014,False,govagenda hb provides new road projects approx jobs preserving role crossroads america,govagenda hb provides up to m for new road projects approx jobs while preserving in s role as crossroads of america
other,"Discussing IN's 1st ever state funding for #preK pilot program, signed into law this year, w/@GarrisonRadio. http://t.co/6IifW5fbVy",Mon Oct 20 15:57:58 +0000 2014,False,discussing st ever state funding prek pilot program signed law year w @garrisonradio,discussing in s st ever state funding for prek pilot program signed into law this year w @garrisonradio
other,"Willkommen to Wells County, Indiana, Haldrup USA. We're glad you chose @NortheastIN! @Indiana_EDC #AStateThatWorks http://t.co/Q3GysxeZdx",Thu Nov 06 20:07:36 +0000 2014,False,willkommen wells county indiana haldrup usa glad chose @northeastin @indiana edc astatethatworks,willkommen to wells county indiana haldrup usa we re glad you chose @northeastin @indiana edc astatethatworks
other,"As inclement weather moves in to IN, see updates on your county's travel status here: http://t.co/zUdiRhtB9U @IDHS #INwx",Sat Jan 04 15:00:15 +0000 2014,False,inclement weather moves see updates county travel status @idhs inwx,as inclement weather moves in to in see updates on your county s travel status here @idhs inwx
other,"Met some Hoosier students on a field trip at #INStatehouse. They were big fans of my tie, designed by @FirstLadyIN. http://t.co/zThk750xfX",Mon Nov 24 18:44:07 +0000 2014,False,met hoosier students field trip instatehouse big fans tie designed @firstladyin,met some hoosier students on a field trip at instatehouse they were big fans of my tie designed by @firstladyin
other,Enjoyed lunch (double cheeseburger) and meeting a great team at @SteaknShake in Indy this afternoon http://t.co/vzryhncGuq,Fri Sep 19 20:01:29 +0000 2014,False,enjoyed lunch double cheeseburger meeting great team @steaknshake indy afternoon,enjoyed lunch double cheeseburger and meeting a great team at @steaknshake in indy this afternoon
other,Merry Christmas from the Pence family. In a shepherd's field near Bethlehem. #PeaceOnEarth @FirstLadyIN http://t.co/dMFwt6YeWQ,Thu Dec 25 14:18:32 +0000 2014,False,merry christmas pence family shepherd field near bethlehem peaceonearth @firstladyin,merry christmas from the pence family in a shepherd s field near bethlehem peaceonearth @firstladyin
other,The @FirstLadyIN &amp; I met with some 4th grade Mt. Comfort Buccaneers in Greenfield. These guys know their IN history! http://t.co/HTdAAOWPXU,Wed Sep 03 18:00:02 +0000 2014,False,@firstladyin met th grade mt comfort buccaneers greenfield guys know history,the @firstladyin i met with some th grade mt comfort buccaneers in greenfield these guys know their in history
other,Checking out Gasoline Alley! #grandprix2014 @FirstLadyIN http://t.co/2988HIJdms,Sat May 10 19:12:01 +0000 2014,False,checking gasoline alley grandprix @firstladyin,checking out gasoline alley grandprix @firstladyin
other,Enjoyed a great game last night at @TheFieldhouse rooting for the @Pacers  as they #BeatTheHeat. Way to go #Pacers! http://t.co/cqlXc6FxNq,Thu Mar 27 11:45:06 +0000 2014,False,enjoyed great game last night @thefieldhouse rooting @pacers beattheheat way go pacers,enjoyed a great game last night at @thefieldhouse rooting for the @pacers as they beattheheat way to go pacers
other,Listening to @JapanEmbDC Amb Sasae tell me about his ride around @IMS w/ @MarioAndretti at the 14th annual #JasiGala http://t.co/TeShtEE25B,Thu May 22 23:18:24 +0000 2014,False,listening @japanembdc amb sasae tell ride around @ims w @marioandretti th annual jasigala,listening to @japanembdc amb sasae tell me about his ride around @ims w @marioandretti at the th annual jasigala
other,Joining Hoosiers this morning for the 3rd Annual MLK Jr. Day of Service at Watkins Park Family Center http://t.co/O1deUP6e1e,Fri Jan 17 14:10:49 +0000 2014,False,joining hoosiers morning rd annual mlk jr day service watkins park family center,joining hoosiers this morning for the rd annual mlk jr day of service at watkins park family center
other,300 of these positions will be filled by late 2015 or early 2016. Thank you @lids4hats for your continued growth in the Hoosier state!,Fri Jan 10 15:28:16 +0000 2014,False,positions filled late early thank @lids hats continued growth hoosier state,of these positions will be filled by late or early thank you @lids hats for your continued growth in the hoosier state
other,"By finishing high school &amp; waiting to have kids until after marriage, you can statistically eliminate chances of poverty. #SuccessEquation",Thu Jan 23 17:46:30 +0000 2014,False,finishing high school waiting kids marriage statistically eliminate chances poverty successequation,by finishing high school waiting to have kids until after marriage you can statistically eliminate chances of poverty successequation
other,I believe we need to find a way to phase out the business personal property tax esp since IN is a leader in manufacturing and agriculture,Wed Jan 22 13:48:17 +0000 2014,False,believe need find way phase business personal property tax esp since leader manufacturing agriculture,i believe we need to find a way to phase out the business personal property tax esp since in is a leader in manufacturing and agriculture
other,Lunching with @RotaryGreenfld in Hancock County today. http://t.co/s5mFg97xQW,Thu Feb 06 17:27:02 +0000 2014,False,lunching @rotarygreenfld hancock county today,lunching with @rotarygreenfld in hancock county today
other,"Japan is our largest foreign direct investor in Indiana, and its roots run deep throughout our economy. #MWJAConference #AStateThatWorks",Mon Sep 08 17:27:59 +0000 2014,False,japan largest foreign direct investor indiana roots run deep throughout economy mwjaconference astatethatworks,japan is our largest foreign direct investor in indiana and its roots run deep throughout our economy mwjaconference astatethatworks
other,"I support both a pilot program &amp; comprehensive study, review of #pre-K in other states. To act &amp; to study this year is right step for IN.",Wed Feb 26 16:15:43 +0000 2014,False,support pilot program comprehensive study review pre k states act study year right step,i support both a pilot program comprehensive study review of pre k in other states to act to study this year is right step for in
other,"Today I'll sign tax reform to create Hoosier jobs incl. SEA1, biz tax cuts &amp; #BPPT reform w/local tax relief option http://t.co/7aW9efSig3",Tue Mar 25 13:06:07 +0000 2014,False,today sign tax reform create hoosier jobs incl sea biz tax cuts bppt reform w local tax relief option,today i ll sign tax reform to create hoosier jobs incl sea biz tax cuts bppt reform w local tax relief option
other,Richmond IN to me is synonymous with community and civic-minded people who serve one another with kindness and generosity,Sat Jan 25 00:11:32 +0000 2014,False,richmond synonymous community civic minded people serve one another kindness generosity,richmond in to me is synonymous with community and civic minded people who serve one another with kindness and generosity
other,"There weren't just cattle on hand, my personal favorite, horses, were well represented too http://t.co/cGZz082Zug",Fri Jul 11 01:25:06 +0000 2014,False,cattle hand personal favorite horses well represented,there weren t just cattle on hand my personal favorite horses were well represented too
other,VIDEO: @GovPenceIN personally thanks first responders for work during #winterstorm http://t.co/7rdvNkZO5O,Fri Jan 10 13:57:43 +0000 2014,False,video @govpencein personally thanks first responders work winterstorm,video @govpencein personally thanks first responders for work during winterstorm
other,"@IN_Intelligence ranks 2nd on @mashable 2014 Seven Best Tech Companies to work 4, employs over 1k Hoosiers http://t.co/dhDxroJ3aO",Thu May 01 18:32:17 +0000 2014,False,@in intelligence ranks nd @mashable seven best tech companies work employs k hoosiers,@in intelligence ranks nd on @mashable seven best tech companies to work employs over k hoosiers
other,.@holaevansville has worked for 12 yrs to enhance SW IN cultural diversity apprec. Great to witness firsthand today. http://t.co/H78zKX7u4e,Thu Feb 27 20:53:27 +0000 2014,False,@holaevansville worked yrs enhance sw cultural diversity apprec great witness firsthand today,@holaevansville has worked for yrs to enhance sw in cultural diversity apprec great to witness firsthand today
other,Great to be in Muncie for the @BallState Business Roundtable discussing our education agenda for the 2015 session http://t.co/YcWfKGstuG,Thu Dec 04 17:46:52 +0000 2014,False,great muncie @ballstate business roundtable discussing education agenda session,great to be in muncie for the @ballstate business roundtable discussing our education agenda for the session
other,#ICYMI Here's an overview of what I focused on during tonight's #INSOTS [INFOGRAPHIC] http://t.co/hshWRBUfdf,Wed Jan 15 00:47:30 +0000 2014,False,icymi overview focused tonight insots infographic,icymi here s an overview of what i focused on during tonight s insots infographic
other,Thankful my friend @MayorBallard is ok after being hit by debris at the Grand Prix. Wishing him a speedy recovery.,Sat May 10 21:32:24 +0000 2014,False,thankful friend @mayorballard ok hit debris grand prix wishing speedy recovery,thankful my friend @mayorballard is ok after being hit by debris at the grand prix wishing him a speedy recovery
other,#ICYMI I spoke w/@TeamCavuto &amp; urged fed govt to give states flex to craft own solutions in areas like edu/healthcare http://t.co/JrBPM3QXjP,Wed Nov 05 18:40:04 +0000 2014,False,icymi spoke w @teamcavuto urged fed govt give states flex craft solutions areas like edu healthcare,icymi i spoke w @teamcavuto urged fed govt to give states flex to craft own solutions in areas like edu healthcare
other,Had chance to meet educators from our region 4 works council today. Thx to @subaru_usa &amp; @Indiana_Youth 4 hosting! http://t.co/0oNc6xsH49,Tue Sep 23 20:21:09 +0000 2014,False,chance meet educators region works council today thx @subaru usa @indiana youth hosting,had chance to meet educators from our region works council today thx to @subaru usa @indiana youth hosting
other,#BPPT will make IN even more attractive for investment and bring jobs to more Hoosiers #GovAgenda #INLegis,Fri Mar 14 15:18:08 +0000 2014,False,bppt make even attractive investment bring jobs hoosiers govagenda inlegis,bppt will make in even more attractive for investment and bring jobs to more hoosiers govagenda inlegis
other,#TBT @FirstLadyIN &amp; I visit w/@IHSAA1 teams at 2013 State Finals. Good luck to all playing for semi-state this wknd! http://t.co/TJGBGlJqrC,Thu Mar 20 18:23:09 +0000 2014,False,tbt @firstladyin visit w @ihsaa teams state finals good luck playing semi state wknd,tbt @firstladyin i visit w @ihsaa teams at state finals good luck to all playing for semi state this wknd
other,A big congrats/welcome to @RyanVaughnIndy on his 1st day as Pres of @IndSportsCorp! Looking fwd to contd. success for this exceptional org.,Mon Oct 27 14:06:55 +0000 2014,False,big congrats welcome @ryanvaughnindy st day pres @indsportscorp looking fwd contd success exceptional org,a big congrats welcome to @ryanvaughnindy on his st day as pres of @indsportscorp looking fwd to contd success for this exceptional org
other,"Joining @GEAviation, world's largest jet engine manu., to announce its 1st final assembly plant in IN http://t.co/b8Ars4D9Na",Wed Mar 26 14:33:02 +0000 2014,False,joining @geaviation world largest jet engine manu announce st final assembly plant,joining @geaviation world s largest jet engine manu to announce its st final assembly plant in in
other,"Joined global software developer @IN_Intelligence to share its HQ expansion plans in #Indy, 430 #jobs 4 Hoosiers http://t.co/IOpJ1uIVF7",Thu May 01 18:11:00 +0000 2014,False,joined global software developer @in intelligence share hq expansion plans indy jobs hoosiers,joined global software developer @in intelligence to share its hq expansion plans in indy jobs hoosiers
other,"Apparently I was the designated water cannon target today, at the Indiana State Employees #PaddleBattle! http://t.co/DQAn8ud9ne",Fri Aug 22 16:22:13 +0000 2014,False,apparently designated water cannon target today indiana state employees paddlebattle,apparently i was the designated water cannon target today at the indiana state employees paddlebattle
other,#NEWS IN jumps from #10 to #8 best biz tax climate in US in @TaxFoundation 2015 index http://t.co/Bhm0er8fZ1 #BestinMidwest #AStatethatWorks,Tue Oct 28 14:59:09 +0000 2014,False,news jumps best biz tax climate us @taxfoundation index bestinmidwest astatethatworks,news in jumps from to best biz tax climate in us in @taxfoundation index bestinmidwest astatethatworks
other,This #pothole surge will be targeted &amp; we'll run alternating 12 hour shifts statewide on weekdays &amp; weekends. @INDOT #Gary,Fri Feb 07 18:28:49 +0000 2014,False,pothole surge targeted run alternating hour shifts statewide weekdays weekends @indot gary,this pothole surge will be targeted we ll run alternating hour shifts statewide on weekdays weekends @indot gary
other,"Honored 2 meet Cub Scout Jacen Troxell who raised over $18k for bullet proof plates for @IMPD_News, thank you Jacen! http://t.co/maI4ZnMBM5",Mon Dec 15 18:06:33 +0000 2014,False,honored meet cub scout jacen troxell raised k bullet proof plates @impd news thank jacen,honored meet cub scout jacen troxell who raised over k for bullet proof plates for @impd news thank you jacen
other,"Our infrastructure vision continues to be: Take care of what you've got, finish what you've started &amp; plan for the future. @PurdueRdSchool",Wed Mar 12 16:30:21 +0000 2014,False,infrastructure vision continues take care got finish started plan future @purduerdschool,our infrastructure vision continues to be take care of what you ve got finish what you ve started plan for the future @purduerdschool
