source,text,created_at,is_retweet,clean_text,clean_text_with_stopwords
other,"My op-ed in @FinancialTimes today: ""America needs more than symbolic gestures in the South #China Sea"" https://t.co/FiBiUd8fDz",Tue Apr 12 12:23:41 +0000 2016,False,op ed @financialtimes today america needs symbolic gestures south china sea,my op ed in @financialtimes today america needs more than symbolic gestures in the south china sea
other,My full remarks on #FY17NDAA @BrookingsInst today: https://t.co/mZvi3TOF5L Watch: https://t.co/h1BsGjeMuZ,Thu May 19 21:56:34 +0000 2016,False,full remarks fy ndaa @brookingsinst today watch,my full remarks on fy ndaa @brookingsinst today watch
other,Monitoring expansion of #CedarCreekFire in #Arizona &amp; praying for safety of community &amp; firefighters https://t.co/13lKsuEaD4,Mon Jun 20 16:46:28 +0000 2016,False,monitoring expansion cedarcreekfire arizona praying safety community firefighters,monitoring expansion of cedarcreekfire in arizona praying for safety of community firefighters
other,"Must-read @WSJ: ""#ObamaCare’s Next Act: Clinton &amp; Obama revive the ‘public option’ road to single payer"" https://t.co/ydZbV4OPCO",Wed Jul 13 13:25:47 +0000 2016,False,must read @wsj obamacare next act clinton obama revive public option road single payer,must read @wsj obamacare s next act clinton obama revive the public option road to single payer
other,Glad Bureau of Land Reclamation plans to boost much-needed water management &amp; drought response projects in #Arizona: https://t.co/soQHV0SwfT,Wed Feb 10 23:33:32 +0000 2016,False,glad bureau land reclamation plans boost much needed water management drought response projects arizona,glad bureau of land reclamation plans to boost much needed water management drought response projects in arizona
other,Cindy &amp; I cast our ballots in #Phoenix earlier today - make sure to get out &amp; #vote too! 🇺🇸 https://t.co/pxDWIs6k0w,Tue Nov 08 18:57:49 +0000 2016,False,cindy cast ballots phoenix earlier today make sure get vote,cindy i cast our ballots in phoenix earlier today make sure to get out vote too
other,Must-watch @60Minutes @CBSNews segment on the #WhiteHelmets' incredible fight to save the Syrian people under attack https://t.co/v4g8q53QEe,Mon Dec 19 16:13:45 +0000 2016,False,must watch @ minutes @cbsnews segment whitehelmets incredible fight save syrian people attack,must watch @ minutes @cbsnews segment on the whitehelmets incredible fight to save the syrian people under attack
other,"Great news for #AZ: ""Crisis averted at Lake Mead: Colorado River water users avoid restrictions for another year"" https://t.co/fMyxHbhdr0",Tue Aug 16 20:47:22 +0000 2016,False,great news az crisis averted lake mead colorado river water users avoid restrictions another year,great news for az crisis averted at lake mead colorado river water users avoid restrictions for another year
other,Have questions about #zikavirus? Pima County #AZ &amp; @UofA are operating 24/7 hotline to answer concerns - more info: https://t.co/dvH8ZhZ6fw,Wed Oct 12 15:36:01 +0000 2016,False,questions zikavirus pima county az @uofa operating hotline answer concerns info,have questions about zikavirus pima county az @uofa are operating hotline to answer concerns more info
other,"Must-read @washingtonpost: ""How the FBI director systematically dismantled Hillary Clinton’s email defense"" https://t.co/TqLm4Q0F49",Wed Jul 06 14:02:25 +0000 2016,False,must read @washingtonpost fbi director systematically dismantled hillary clinton email defense,must read @washingtonpost how the fbi director systematically dismantled hillary clinton s email defense
other,Great @CBSNews segment on @UofA's new memorial honoring the lives lost aboard the #USSArizona: https://t.co/ZopCYlefQi,Thu Dec 08 13:12:34 +0000 2016,False,great @cbsnews segment @uofa new memorial honoring lives lost aboard ussarizona,great @cbsnews segment on @uofa s new memorial honoring the lives lost aboard the ussarizona
other,I'm pleased that #SCOTUS has decided to hear case on Pres Obama’s unconstitutional #executiveaction on immigration: https://t.co/UBh6Bi4C7B,Tue Jan 19 23:45:31 +0000 2016,False,pleased scotus decided hear case pres obama unconstitutional executiveaction immigration,i m pleased that scotus has decided to hear case on pres obama s unconstitutional executiveaction on immigration
other,My op-ed in @FinancialTimes: The United States retreats from trade deals at our own peril https://t.co/lc9c750f1w,Tue Dec 06 20:46:04 +0000 2016,False,op ed @financialtimes united states retreats trade deals peril,my op ed in @financialtimes the united states retreats from trade deals at our own peril
other,"Must-read @FreeBeacon: ""Republican Bill Would Suspend #Obamacare Mandate Amid Premium Hikes"" https://t.co/c1nGzCOJlh",Tue Aug 23 14:59:54 +0000 2016,False,must read @freebeacon republican bill would suspend obamacare mandate amid premium hikes,must read @freebeacon republican bill would suspend obamacare mandate amid premium hikes
other,Great to see #Arizona Senator @CarlyleBegay &amp; his wonderful family today - thank you for your service to our state! https://t.co/Gp1eL1PDxb,Sat Mar 05 18:21:56 +0000 2016,False,great see arizona senator @carlylebegay wonderful family today thank service state,great to see arizona senator @carlylebegay his wonderful family today thank you for your service to our state
other,"Must-read @WSJ: ""Obama’s Tide of War"" https://t.co/TLekQCKG8T",Wed Oct 19 14:19:23 +0000 2016,False,must read @wsj obama tide war,must read @wsj obama s tide of war
other,Defense cuts forced @USArmy to reduce by 100K soldiers since 2012; only 1/3 brigade combat teams ready to deploy &amp; operate #FY17NDAA,Wed Jun 08 18:23:02 +0000 2016,False,defense cuts forced @usarmy reduce k soldiers since brigade combat teams ready deploy operate fy ndaa,defense cuts forced @usarmy to reduce by k soldiers since only brigade combat teams ready to deploy operate fy ndaa
other,"This #MemorialDay check out @URTURT tshirt sale honoring Charles Keating IV, all proceeds benefiting wounded vets https://t.co/VJHflaaK1F",Fri May 27 23:01:04 +0000 2016,False,memorialday check @urturt tshirt sale honoring charles keating iv proceeds benefiting wounded vets,this memorialday check out @urturt tshirt sale honoring charles keating iv all proceeds benefiting wounded vets
other,"News that US will send 217 more troops to fight ISIL is welcome, but another example of incrementalism. My stmt: https://t.co/ia2m67RBNo",Mon Apr 18 21:10:17 +0000 2016,False,news us send troops fight isil welcome another example incrementalism stmt,news that us will send more troops to fight isil is welcome but another example of incrementalism my stmt
other,"Must-read Gen David Petraeus &amp; Amb John Herbst in @WSJ: ""#Putin Hasn’t Given Up His Designs on #Ukraine"" https://t.co/ODj3aRA90A",Thu Feb 18 15:32:31 +0000 2016,False,must read gen david petraeus amb john herbst @wsj putin given designs ukraine,must read gen david petraeus amb john herbst in @wsj putin hasn t given up his designs on ukraine
other,"More gov't-run healthcare is last thing American ppl need: ""Dems use #ObamaCare crisis to revive public option push"" https://t.co/8YJMuFLAVc",Wed Sep 07 20:55:04 +0000 2016,False,gov run healthcare last thing american ppl need dems use obamacare crisis revive public option push,more gov t run healthcare is last thing american ppl need dems use obamacare crisis to revive public option push
other,.@POTUS's #Syria policy is Einstein’s definition of insanity: doing same thing over &amp; over &amp; expecting diff results https://t.co/gqyIFHGzgJ,Mon Sep 26 17:33:29 +0000 2016,False,@potus syria policy einstein definition insanity thing expecting diff results,@potus s syria policy is einstein s definition of insanity doing same thing over over expecting diff results
other,".@AFP ""Russia renews heavy bombing of Syria's Aleppo"" https://t.co/pLHbaMbDj8",Tue Oct 11 21:54:53 +0000 2016,False,@afp russia renews heavy bombing syria aleppo,@afp russia renews heavy bombing of syria s aleppo
other,"Great meeting w/ members of the new Northern #Arizona Military Advocacy Council, supporting our proud military cmty! https://t.co/UhKz2QRGbq",Tue Jul 19 17:03:05 +0000 2016,False,great meeting w members new northern arizona military advocacy council supporting proud military cmty,great meeting w members of the new northern arizona military advocacy council supporting our proud military cmty
other,".@NHOnews: ""Senate panel subpoenas @EPA chief to appear at #Phoenix hearing on Gold King Mine spill"" https://t.co/UK2QkhxQ8G",Wed Apr 20 18:36:54 +0000 2016,False,@nhonews senate panel subpoenas @epa chief appear phoenix hearing gold king mine spill,@nhonews senate panel subpoenas @epa chief to appear at phoenix hearing on gold king mine spill
other,I applaud the decision not to demote Gen. Petraeus - now we can move on and benefit from the advice and counsel of this great American.,Sat Jan 30 20:05:09 +0000 2016,False,applaud decision demote gen petraeus move benefit advice counsel great american,i applaud the decision not to demote gen petraeus now we can move on and benefit from the advice and counsel of this great american
other,".@azfamily: ""@Aetna exit means Pinal County has no marketplace health plan"" https://t.co/G1OX95H5YO",Wed Aug 17 17:49:12 +0000 2016,False,@azfamily @aetna exit means pinal county marketplace health plan,@azfamily @aetna exit means pinal county has no marketplace health plan
other,"Must-read @washingtonpost: ""The #Panama Papers: Where have #Russia’s billions gone?"" https://t.co/5risorGVNL",Tue Apr 05 16:17:03 +0000 2016,False,must read @washingtonpost panama papers russia billions gone,must read @washingtonpost the panama papers where have russia s billions gone
other,The release of #KhadijaIsmayilova in #Azerbaijan is an imp't step fwd for freedom of speech &amp; human rights https://t.co/4XNG0GPx1K,Wed May 25 16:34:19 +0000 2016,False,release khadijaismayilova azerbaijan imp step fwd freedom speech human rights,the release of khadijaismayilova in azerbaijan is an imp t step fwd for freedom of speech human rights
other,"Must-read @Forbes: ""Catfish Regulation: A Perfect Example Of Wasted Resources In The U.S. Government"" https://t.co/26Qj7sK46b",Wed Jun 08 22:13:30 +0000 2016,False,must read @forbes catfish regulation perfect example wasted resources u government,must read @forbes catfish regulation a perfect example of wasted resources in the u s government
other,"Must-read @WSJ: ""The Diplomas—and Jobs—Washington Wants to Kill"" https://t.co/YFfiIpPtHd",Tue May 10 12:51:22 +0000 2016,False,must read @wsj diplomas jobs washington wants kill,must read @wsj the diplomas and jobs washington wants to kill
