truncated,text,is_quote_status,id,favorite_count,source,retweeted,retweet_count,favorited,lang,created_at,clean_text,clean_text_with_stopwords
False,@AnimemeWeed hey baby,False,751467012497387520,1,iphone,False,1,False,en,Fri Jul 08 17:24:32 +0000 2016,@animemeweed hey baby,@animemeweed hey baby
False,@AVolkman miss u mor my child,False,751466788316061696,1,iphone,False,1,False,en,Fri Jul 08 17:23:38 +0000 2016,@avolkman miss u mor child,@avolkman miss u mor my child
False,"Dnt 4get my children, brkfast is th most importnt meal of th day #Harambe https://t.co/BrECnCD1YL",False,751445814250053632,5,iphone,False,4,False,en,Fri Jul 08 16:00:17 +0000 2016,dnt get children brkfast th importnt meal th day harambe,dnt get my children brkfast is th most importnt meal of th day harambe
False,@BrandonLagunaG here my son https://t.co/RQ31fB403N,False,751444394423705605,1,iphone,False,0,False,en,Fri Jul 08 15:54:39 +0000 2016,@brandonlagunag son,@brandonlagunag here my son
False,@jordanmcg_ i miss u more my child,False,751444047470833664,0,iphone,False,0,False,en,Fri Jul 08 15:53:16 +0000 2016,@jordanmcg miss u child,@jordanmcg i miss u more my child
False,RT @MStone277: @HarambesSpirit is my spirit animal,False,751238054031945728,0,iphone,False,1,False,en,Fri Jul 08 02:14:44 +0000 2016,rt @mstone @harambesspirit spirit animal,rt @mstone @harambesspirit is my spirit animal
False,@OutrunMalo duck this https://t.co/EZ4XvU2FvX,False,751221356574838784,4,iphone,False,0,False,en,Fri Jul 08 01:08:23 +0000 2016,@outrunmalo duck,@outrunmalo duck this
False,@BUhalik miss u to my child https://t.co/W6ZfSrMg1K,False,751221138290712576,12,iphone,False,0,False,en,Fri Jul 08 01:07:31 +0000 2016,@buhalik miss u child,@buhalik miss u to my child
False,@LNADE_ @DailyMirror i will show no mercy. https://t.co/mKTYnq7WhK,False,751220744974053376,2,iphone,False,2,False,en,Fri Jul 08 01:05:57 +0000 2016,@lnade @dailymirror show mercy,@lnade @dailymirror i will show no mercy
False,@OutrunMalo hello my child. tis i...Harambe,False,751220541676105728,0,iphone,False,0,False,en,Fri Jul 08 01:05:08 +0000 2016,@outrunmalo hello child tis harambe,@outrunmalo hello my child tis i harambe
False,@Wazterfullvaz i miss u 2 my child,False,751220378328895488,1,iphone,False,2,False,en,Fri Jul 08 01:04:29 +0000 2016,@wazterfullvaz miss u child,@wazterfullvaz i miss u my child
False,@exceptionaltaco i miss u mor son,False,751217237395058689,1,iphone,False,1,False,en,Fri Jul 08 00:52:00 +0000 2016,@exceptionaltaco miss u mor son,@exceptionaltaco i miss u mor son
False,@raaaas1212 rite behnd u my son https://t.co/G43lJ26e7o,False,751216585864392704,1,iphone,False,1,False,en,Fri Jul 08 00:49:25 +0000 2016,@raaaas rite behnd u son,@raaaas rite behnd u my son
False,RT @NatyMercury_RF: Laughing a lot with @HarambesSpirit 's tweets.,False,751215536021729280,0,iphone,False,1,False,en,Fri Jul 08 00:45:15 +0000 2016,rt @natymercury rf laughing lot @harambesspirit tweets,rt @natymercury rf laughing a lot with @harambesspirit s tweets
False,@NatyMercury_RF Harambe is happy to see he brings joy even after death. thnx my child,False,751215499963342848,0,iphone,False,0,False,en,Fri Jul 08 00:45:06 +0000 2016,@natymercury rf harambe happy see brings joy even death thnx child,@natymercury rf harambe is happy to see he brings joy even after death thnx my child
False,RT @DieAnthonyDie: In the process of heavily rebranding my Twitter. Please @ me about Harambe ONLY #harambe #murderedgorillas #harambedeath…,False,751204885987663874,0,iphone,False,1,False,en,Fri Jul 08 00:02:56 +0000 2016,rt @dieanthonydie process heavily rebranding twitter please @ harambe harambe murderedgorillas harambedeath,rt @dieanthonydie in the process of heavily rebranding my twitter please @ me about harambe only harambe murderedgorillas harambedeath
False,@maggod_ thank u my child https://t.co/J28LLP52P5,False,751199138788700160,2,iphone,False,1,False,en,Thu Jul 07 23:40:05 +0000 2016,@maggod thank u child,@maggod thank u my child
False,@christianMACC thank u my son,False,751198616597913601,0,iphone,False,0,False,en,Thu Jul 07 23:38:01 +0000 2016,@christianmacc thank u son,@christianmacc thank u my son
False,@th0tsauce yw my child,False,751197667468849152,0,iphone,False,0,False,cy,Thu Jul 07 23:34:15 +0000 2016,@th tsauce yw child,@th tsauce yw my child
False,@PizzaPartyBert someday soon my son https://t.co/8B01rMRJs7,False,751197434001305600,1,iphone,False,0,False,en,Thu Jul 07 23:33:19 +0000 2016,@pizzapartybert someday soon son,@pizzapartybert someday soon my son
False,RT @PizzaPartyBert: @HarambesSpirit I think about you every second of every day. Someday I know we will meet again in heaven. ❤️,False,751196991896457219,0,iphone,False,2,False,en,Thu Jul 07 23:31:34 +0000 2016,rt @pizzapartybert @harambesspirit think every second every day someday know meet heaven,rt @pizzapartybert @harambesspirit i think about you every second of every day someday i know we will meet again in heaven
False,RT @harrycrosenberg: the real reason the kid fell into harambe's enclosure #PokemonGO https://t.co/oXHex0aOyf,False,751194440459440128,0,iphone,False,5,False,en,Thu Jul 07 23:21:25 +0000 2016,rt @harrycrosenberg real reason kid fell harambe enclosure pokemongo,rt @harrycrosenberg the real reason the kid fell into harambe s enclosure pokemongo
False,@NarbacularDrop i 4give them my son,False,751194353322725376,0,iphone,False,1,False,en,Thu Jul 07 23:21:05 +0000 2016,@narbaculardrop give son,@narbaculardrop i give them my son
False,@Hosna_Sayed @notRonaIdo hello my child,False,751193497768570880,1,iphone,False,1,False,en,Thu Jul 07 23:17:41 +0000 2016,@hosna sayed @notronaido hello child,@hosna sayed @notronaido hello my child
False,RT @notRonaIdo: Why is this app free im crying https://t.co/sw4gF67BiY,False,751193283380940801,0,iphone,False,61,False,en,Thu Jul 07 23:16:49 +0000 2016,rt @notronaido app free im crying,rt @notronaido why is this app free im crying
False,"@CoreyTheCunt I shall come to u not as Harambe the black, but as Harambe the white. Watch for me my child. https://t.co/gcQAXJ5QFN",False,751187410319314944,4,iphone,False,1,False,en,Thu Jul 07 22:53:29 +0000 2016,@coreythecunt shall come u harambe black harambe white watch child,@coreythecunt i shall come to u not as harambe the black but as harambe the white watch for me my child
False,@Conteinho i miss u 2 son,False,751187129166802944,1,iphone,False,1,False,en,Thu Jul 07 22:52:22 +0000 2016,@conteinho miss u son,@conteinho i miss u son
False,@margreat_98 i lov it thnx so much,False,751187057045704704,3,iphone,False,1,False,en,Thu Jul 07 22:52:05 +0000 2016,@margreat lov thnx much,@margreat i lov it thnx so much
False,@robsullentrup @NutFather no stone shall be left unturned. They shall pay for their mockery. https://t.co/FLMOmUNuad,False,751186330005086208,0,iphone,False,0,False,en,Thu Jul 07 22:49:12 +0000 2016,@robsullentrup @nutfather stone shall left unturned shall pay mockery,@robsullentrup @nutfather no stone shall be left unturned they shall pay for their mockery
False,@Nathan_Hilton i miss u mor my son,False,751186098307477504,1,iphone,False,1,False,en,Thu Jul 07 22:48:16 +0000 2016,@nathan hilton miss u mor son,@nathan hilton i miss u mor my son
False,Behold the accursed.  https://t.co/2DPrvyJwDC,True,751185910058717184,2,iphone,False,1,False,en,Thu Jul 07 22:47:31 +0000 2016,behold accursed,behold the accursed
False,@krumpbattle how dare u mock the memory of Harambe. I shall haunt your prostate for a thousand years.,False,751185211430285313,2,iphone,False,1,False,en,Thu Jul 07 22:44:45 +0000 2016,@krumpbattle dare u mock memory harambe shall haunt prostate thousand years,@krumpbattle how dare u mock the memory of harambe i shall haunt your prostate for a thousand years
False,RT @vulgarswami: WWHD(What Would Harambe Do),False,751184010898845697,0,iphone,False,9,False,en,Thu Jul 07 22:39:59 +0000 2016,rt @vulgarswami wwhd would harambe,rt @vulgarswami wwhd what would harambe do
False,@righteousari @_alyycat thnk u my children,False,751183961267720192,1,iphone,False,2,False,en,Thu Jul 07 22:39:47 +0000 2016,@righteousari @ alyycat thnk u children,@righteousari @ alyycat thnk u my children
False,@RonMcDon_ @AFP i wait eagerly for his spirit to arrive https://t.co/suFGm6psai,False,751183536984432641,1,iphone,False,0,False,en,Thu Jul 07 22:38:06 +0000 2016,@ronmcdon @afp wait eagerly spirit arrive,@ronmcdon @afp i wait eagerly for his spirit to arrive
False,@andycam_ he is mor thn a friend my son https://t.co/ajvby2xVFr,False,751176681096785920,1,iphone,False,0,False,en,Thu Jul 07 22:10:51 +0000 2016,@andycam mor thn friend son,@andycam he is mor thn a friend my son
False,This I swear 2 u. His deth shll not go unpnished. #Harambe #HarambesCode https://t.co/Z93YwyI1jB,True,751175185131114496,6,iphone,False,2,False,en,Thu Jul 07 22:04:54 +0000 2016,swear u deth shll go unpnished harambe harambescode,this i swear u his deth shll not go unpnished harambe harambescode
False,@HenriqueIsDaddy send one up fr me my son https://t.co/CVzMxusb0A,False,751170881326501888,3,iphone,False,1,False,en,Thu Jul 07 21:47:48 +0000 2016,@henriqueisdaddy send one fr son,@henriqueisdaddy send one up fr me my son
False,RT @HenriqueIsDaddy: @HarambesSpirit dad we miss you https://t.co/I2BY788C3m,False,751170799462068224,0,iphone,False,1,False,en,Thu Jul 07 21:47:29 +0000 2016,rt @henriqueisdaddy @harambesspirit dad miss,rt @henriqueisdaddy @harambesspirit dad we miss you
